customer_id,first_name,last_name,email,country,region,acquisition_channel,registration_date,is_loyalty_member,age_group
CUST-00001,Alexander,Johnson,alexander.johnson0@email.com,UK,West,organic_search,2022-03-16,True,25-34
CUST-00002,Henry,Ichoku,henry.ichoku1@email.com,Canada,East,paid_search,2022-05-11,True,35-44
CUST-00003,William,Patel,william.patel2@email.com,USA,East,social_media,2022-03-19,True,35-44
CUST-00004,Ava,Wilson,ava.wilson3@email.com,USA,East,organic_search,2022-02-07,False,55+
CUST-00005,Alexander,Patel,alexander.patel4@email.com,Canada,West,referral,2022-02-21,False,35-44
CUST-00006,Harper,Smith,harper.smith5@email.com,Canada,East,paid_search,2022-09-05,True,35-44
CUST-00007,Charlotte,Chen,charlotte.chen6@email.com,USA,East,social_media,2022-04-03,False,25-34
CUST-00008,Tariq,Johnson,tariq.johnson7@email.com,Canada,South,organic_search,2022-07-01,False,45-54
CUST-00009,Henry,Wilson,henry.wilson8@email.com,USA,Central,social_media,2022-10-08,False,25-34
CUST-00010,Kwame,Patel,kwame.patel9@email.com,UK,South,paid_search,2023-04-14,False,25-34
CUST-00011,William,Moore,william.moore10@email.com,Canada,West,direct,2022-01-17,True,55+
CUST-00012,Amara,Patel,amara.patel11@email.com,Canada,Central,organic_search,2023-10-05,False,45-54
CUST-00013,Olivia,Singh,olivia.singh12@email.com,USA,North,direct,2023-01-31,True,45-54
CUST-00014,Ava,Johnson,ava.johnson13@email.com,USA,West,paid_search,2022-02-04,False,25-34
CUST-00015,Liam,Nguyen,liam.nguyen14@email.com,Canada,East,social_media,2024-04-07,False,18-24
CUST-00016,Emma,Singh,emma.singh15@email.com,Canada,North,direct,2024-10-11,False,35-44
CUST-00017,Olivia,Nguyen,olivia.nguyen16@email.com,Canada,South,referral,2022-01-26,True,25-34
CUST-00018,Ethan,Singh,ethan.singh17@email.com,USA,Central,email,2022-05-10,True,18-24
CUST-00019,William,Ichoku,william.ichoku18@email.com,Canada,Central,social_media,2023-10-19,False,45-54
CUST-00020,Noah,Moore,noah.moore19@email.com,USA,Central,organic_search,2023-07-06,True,18-24
CUST-00021,James,Abubakar,james.abubakar20@email.com,USA,North,organic_search,2022-03-23,False,45-54
CUST-00022,Liam,Patel,liam.patel21@email.com,Canada,North,email,2022-04-04,True,25-34
CUST-00023,Noah,Okafor,noah.okafor22@email.com,Canada,East,email,2022-07-05,False,25-34
CUST-00024,Isabella,Garcia,isabella.garcia23@email.com,USA,North,referral,2022-09-23,True,45-54
CUST-00025,Isabella,Nguyen,isabella.nguyen24@email.com,UK,North,organic_search,2023-01-21,False,35-44
CUST-00026,Chioma,Patel,chioma.patel25@email.com,Canada,West,paid_search,2022-07-04,False,35-44
CUST-00027,Benjamin,Brown,benjamin.brown26@email.com,Canada,North,paid_search,2022-09-06,True,25-34
CUST-00028,Benjamin,Moore,benjamin.moore27@email.com,USA,East,referral,2023-07-05,True,18-24
CUST-00029,Lucas,Miller,lucas.miller28@email.com,UK,Central,direct,2022-01-15,False,45-54
CUST-00030,Amelia,Wilson,amelia.wilson29@email.com,Canada,West,referral,2022-04-27,False,35-44
CUST-00031,Charlotte,Wilson,charlotte.wilson30@email.com,Canada,West,email,2023-05-15,True,18-24
CUST-00032,Kofi,Jones,kofi.jones31@email.com,UK,Central,paid_search,2024-06-21,False,35-44
CUST-00033,Amara,Abubakar,amara.abubakar32@email.com,USA,South,direct,2022-10-14,False,45-54
CUST-00034,James,Brown,james.brown33@email.com,Canada,East,direct,2022-10-31,False,45-54
CUST-00035,Olivia,Okafor,olivia.okafor34@email.com,USA,North,paid_search,2022-02-15,True,45-54
CUST-00036,Charlotte,Jones,charlotte.jones35@email.com,Canada,Central,email,2022-08-26,False,25-34
CUST-00037,Tariq,Johnson,tariq.johnson36@email.com,Canada,East,referral,2022-11-01,False,25-34
CUST-00038,Sophia,Brown,sophia.brown37@email.com,Canada,North,social_media,2022-04-22,False,18-24
CUST-00039,Evelyn,Jones,evelyn.jones38@email.com,Canada,East,paid_search,2022-05-06,False,25-34
CUST-00040,Tariq,Diallo,tariq.diallo39@email.com,Canada,East,referral,2022-07-09,False,25-34
CUST-00041,Nadia,Ichoku,nadia.ichoku40@email.com,USA,East,email,2022-01-09,True,35-44
CUST-00042,Ava,Brown,ava.brown41@email.com,USA,West,social_media,2022-06-05,False,25-34
CUST-00043,Sophia,Miller,sophia.miller42@email.com,USA,Central,email,2022-04-06,True,45-54
CUST-00044,Yusuf,Davis,yusuf.davis43@email.com,Canada,West,referral,2022-06-08,False,55+
CUST-00045,William,Mensah,william.mensah44@email.com,Canada,Central,organic_search,2022-02-21,True,35-44
CUST-00046,Kofi,Wilson,kofi.wilson45@email.com,Canada,North,social_media,2024-06-03,True,25-34
CUST-00047,Chioma,Patel,chioma.patel46@email.com,Canada,West,organic_search,2022-12-27,False,35-44
CUST-00048,Tariq,Wilson,tariq.wilson47@email.com,Canada,North,email,2023-03-31,False,25-34
CUST-00049,Olivia,Brown,olivia.brown48@email.com,USA,South,email,2023-09-15,False,25-34
CUST-00050,Amara,Ichoku,amara.ichoku49@email.com,USA,North,direct,2022-10-04,False,25-34
CUST-00051,Emma,Mensah,emma.mensah50@email.com,USA,East,email,2022-02-06,True,25-34
CUST-00052,Olivia,Diallo,olivia.diallo51@email.com,Canada,North,direct,2022-11-05,False,25-34
CUST-00053,Chioma,Miller,chioma.miller52@email.com,Canada,South,organic_search,2022-12-20,False,25-34
CUST-00054,Chioma,Ichoku,chioma.ichoku53@email.com,USA,Central,referral,2023-07-02,False,18-24
CUST-00055,Aisha,Brown,aisha.brown54@email.com,UK,Central,direct,2022-08-15,False,55+
CUST-00056,Isabella,Diallo,isabella.diallo55@email.com,Canada,South,referral,2022-02-24,True,55+
CUST-00057,Isabella,Patel,isabella.patel56@email.com,Canada,East,social_media,2022-05-14,False,55+
CUST-00058,Chioma,Mensah,chioma.mensah57@email.com,UK,East,direct,2022-06-30,False,25-34
CUST-00059,Ethan,Moore,ethan.moore58@email.com,USA,North,organic_search,2023-02-20,True,25-34
CUST-00060,Isabella,Moore,isabella.moore59@email.com,Canada,South,direct,2022-12-05,True,18-24
CUST-00061,Evelyn,Ichoku,evelyn.ichoku60@email.com,USA,South,social_media,2022-06-26,True,25-34
CUST-00062,Chioma,Miller,chioma.miller61@email.com,USA,South,referral,2024-12-31,False,18-24
CUST-00063,Ava,Williams,ava.williams62@email.com,Canada,North,referral,2023-01-08,True,35-44
CUST-00064,Emeka,Nguyen,emeka.nguyen63@email.com,Canada,West,paid_search,2022-04-19,True,18-24
CUST-00065,Chioma,Moore,chioma.moore64@email.com,Canada,East,paid_search,2022-02-12,True,55+
